"Carimbo de data/hora","Qual a sua idade?","Qual seu sexo?","Qual o seu estado civil?","Onde você mora?","Qual a sua profissão?","Qual a sua renda pessoal mensal aproximada em reais?","Quais são as principais dificuldades que você enfrenta ao estudar cálculo?","De uma escala de 1 à 5, qual o nível sua dificuldade em Cálculo:","Qual o seu curso?","Em qual ano do seu curso você está?","Você tem DP de Cálculo?","Qual assunto desperta a sua atenção?","Das opções abaixo, qual você considera a mais importante ao comprar uma aula particular?","Nível de profissionalização do professor","Qualidade dos textos base (livros usados)","Qualidade dos exercícios","Preço hora/aula","Localização (Online ou Presencial)","Estatística de pessoas que já passaram de ano por conta dessas aulas","Você gostou do nosso produto?","Você divulgaria o nosso produto aos seus amigos e/ou familiares?","Você compraria o nosso produto?","Quanto tempo você considera ideal para uma aula particular? (em horas)","Se o valor do produto for de R$50,00/hora de aula, você diria que:","Quanto você considera que seria um valor justo a pagar pelo nosso produto (apenas o número)?","Pelos custos de produção e comercialização calculados, teremos que comercializar esse produto por R$60,00. Por esse valor, você o compraria?"
"2023/04/04 3:32:46 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","4","Engenharia (Ciclo Básico)","1º ano","Não","Política;Esportes;Economia;Automóveis;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2.5","um bom valor e eu provavelmente compraria","50","Não"
"2023/04/04 3:34:18 PM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Automóveis;Tecnologia","Exercícios","Relevante","Relevante","Relevante","Não relevante","Presencial","Não relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","75","Sim"
"2023/04/04 3:36:30 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","2000","Compreensão geral dos conceitos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Tecnologia","Preço Hora/Aula","Não relevante","Não relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","1 ","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:41:31 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Tecnologia","Preço Hora/Aula","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","40","Não"
"2023/04/04 3:41:40 PM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","000","Habilidade em aplicar conceitos matemáticos para situações práticas","1","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Economia;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Não relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","3","um bom valor e eu provavelmente compraria","70","Não"
"2023/04/04 3:42:21 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","100","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia de Computação","1º ano","Não","Economia;Automóveis;Tecnologia","Exercícios","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 3:42:51 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","1","Habilidade em trabalhar com equações e gráficos matemáticos","5","Engenharia Civil","1º ano","Não","Esportes;Automóveis","Nível de profissionalização do professor","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/04 3:45:35 PM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Esportes;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Não","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","40","Não"
"2023/04/04 4:17:23 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em trabalhar com equações e gráficos matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Outros","Preço Hora/Aula","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2 ","um bom valor e eu provavelmente compraria","45","Não"
"2023/04/04 4:23:08 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Esportes;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Não relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 4:31:19 PM GMT-3","17","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","65","Sim"
"2023/04/04 5:44:20 PM GMT-3","17","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","200","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","5","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Esportes","Exercícios","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","3","um pouco caro e eu teria que pensar melhor para decidir se compraria","20","Não"
"2023/04/04 6:04:53 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante com Renda","300","Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos","4","Engenharia (Ciclo Básico)","1º ano","Não","Esportes","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/04 6:32:15 PM GMT-3","17","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","1","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","4","Engenharia (Ciclo Básico)","1º ano","Não","Automóveis","Preço Hora/Aula","Não relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/04 6:52:39 PM GMT-3","17","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","2.000","Habilidade em resolver problemas matemáticos","5","Engenharia (Ciclo Básico)","1º ano","Não","Esportes","Preço Hora/Aula","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","80","Sim"
"2023/04/04 7:26:32 PM GMT-3","17","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Tecnologia","Exercícios","Relevante","Não relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/04 8:29:22 PM GMT-3","17","Masculino","Casado(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos","2","Engenharia de Computação","1º ano","Não","Esportes;Tecnologia","Localização (Online ou presencial)","Relevante","Não relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","55","Sim"
"2023/04/04 8:40:40 PM GMT-3","18","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia (Ciclo Básico)","1º ano","Não","Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","30","Sim"
"2023/04/05 1:31:56 PM GMT-3","19","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Habilidade em trabalhar com equações e gráficos matemáticos","2","Engenharia (Ciclo Básico)","1º ano","Não","Automóveis;Tecnologia","Preço Hora/Aula","Não relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","3","um pouco caro e eu teria que pensar melhor para decidir se compraria","30","Não"
"2023/04/05 3:57:10 PM GMT-3","25","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","2","Engenharia de Alimentos","1º ano","Não","Lazer;Economia;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Não","Não","Não","2","um bom valor e eu provavelmente compraria","50","Não"
"2023/04/10 7:01:58 PM GMT-3","20","Feminino","Solteiro(a)","Capital de SP","Estudante com Renda","800","Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","4","Engenharia Química","3º ano","Não","Economia;Tecnologia","Preço Hora/Aula","Relevante","Não relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","50","Sim"
"2023/04/10 7:09:57 PM GMT-3","21","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia de Computação","4º ano","Não","Lazer;Outros","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/10 7:14:06 PM GMT-3","17","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em aplicar conceitos matemáticos para situações práticas","2","Engenharia (Ciclo Básico)","1º ano","Não","Política;Tecnologia","Preço Hora/Aula","Não relevante","Não relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Não","Não","1","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/10 7:14:40 PM GMT-3","18","Masculino","Solteiro(a)","Região do ABCD","Estudante com Renda","840","Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","2","Ciências da Computação","2º ano","Não","Política;Lazer;Esportes;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","30","Não"
"2023/04/10 7:15:26 PM GMT-3","17","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","1500","Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","2","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Automóveis;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Presencial","Não relevante","Sim","Sim","Sim","1","é tão barato que é evidente que a qualidade não deve ser tão boa","75","Sim"
"2023/04/10 7:18:53 PM GMT-3","19","Masculino","Solteiro(a)","Região do ABCD","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","3","Ciências da Computação","2º ano","Não","Lazer;Esportes;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Não","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/10 7:19:29 PM GMT-3","21","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos","3","Ciências da Computação","1º ano","Não","Lazer;Tecnologia;Outros","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Online","Não relevante","Sim","Sim","Sim","1.5","um bom valor e eu provavelmente compraria","40","Sim"
"2023/04/10 7:22:14 PM GMT-3","21","Masculino","Solteiro(a)","Região do ABCD","Estudante com Renda","2000","Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia de Computação","4º ano","Não","Lazer;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Não","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/10 7:31:19 PM GMT-3","19","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","5000","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Dificuldade em entender ou aplicar notações matemáticas","5","Engenharia de Alimentos","2º ano","Não","Lazer;Esportes;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Não relevante","Relevante","Não relevante","Online","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","75","Sim"
"2023/04/10 7:32:07 PM GMT-3","20","Masculino","Solteiro(a)","Capital de SP","Estudante com Renda","1300","Dificuldade em entender ou aplicar notações matemáticas","3","Engenharia de Computação","3º ano","Não","Política;Lazer;Esportes;Tecnologia","Exercícios","Relevante","Não relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Não","2","é tão barato que é evidente que a qualidade não deve ser tão boa","100","Não"
"2023/04/10 7:48:26 PM GMT-3","17","Feminino","Solteiro(a)","Capital de SP","Estudante com Renda","2500","Habilidade em trabalhar com equações e gráficos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","2","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Outros","Preço Hora/Aula","Relevante","Relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50 ","Sim"
"2023/04/10 8:11:05 PM GMT-3","22","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Compreensão geral dos conceitos matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas","3","Engenharia de Computação","4º ano","Não","Lazer;Esportes;Tecnologia;Outros","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","um bom valor e eu provavelmente compraria","60","Sim"
"2023/04/10 8:19:54 PM GMT-3","17","Feminino","Solteiro(a)","Região do ABCD","Estudante sem Renda","5000","Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos","4","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Esportes;Economia;Automóveis","Localização (Online ou presencial)","Não relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","1","um bom valor e eu provavelmente compraria","50","Não"
"2023/04/10 9:08:39 PM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante sem Renda","1500","Compreensão geral dos conceitos matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos","5","Engenharia Mecânica","2º ano","Sim","Política;Lazer;Esportes;Economia;Automóveis;Tecnologia","Exercícios","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","é tão barato que é evidente que a qualidade não deve ser tão boa","70","Sim"
"2023/04/10 9:39:49 PM GMT-3","21","Masculino","Solteiro(a)","Região do ABCD","Estudante com Renda","7000","Compreensão geral dos conceitos matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Política;Economia;Tecnologia","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Não relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","50","Sim"
"2023/04/11 1:27:07 AM GMT-3","21","Masculino","Solteiro(a)","Capital de SP","Estudante com Renda","5900","Habilidade em trabalhar com equações e gráficos matemáticos","3","Engenharia de Controle e Automação","4º ano","Não","Automóveis;Tecnologia","Localização (Online ou presencial)","Não relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Não","Não","2","muito caro e nem considero comprar","60","Não"
"2023/04/11 9:00:27 AM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante com Renda","2000","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em aplicar conceitos matemáticos para situações práticas;Dificuldade em entender ou aplicar notações matemáticas","5","Engenharia Mecânica","2º ano","Sim","Lazer;Esportes;Economia;Automóveis;Tecnologia","Exercícios","Não relevante","Não relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","1","um pouco caro e eu teria que pensar melhor para decidir se compraria","40","Não"
"2023/04/11 11:12:19 AM GMT-3","18","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","0","Habilidade em resolver problemas matemáticos","3","Engenharia (Ciclo Básico)","1º ano","Não","Lazer;Esportes;Automóveis;Tecnologia","Estatística de pessoas que já passaram de ano por conta dessas aulas","Não relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","50","Não"
"2023/04/11 11:57:58 AM GMT-3","17","Masculino","Solteiro(a)","Região do ABCD","Estudante com Renda","1000","Dificuldade em entender ou aplicar notações matemáticas","4","Engenharia (Ciclo Básico)","1º ano","Não","Esportes;Automóveis;Tecnologia","Localização (Online ou presencial)","Não relevante","Relevante","Relevante","Relevante","Online","Não relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","30","Sim"
"2023/04/11 7:42:43 PM GMT-3","100","Masculino","Viúvo(a)","Região do ABCD","Estudante sem Renda","999999999999999999999999999999999999999999999999999999999","Habilidade em aplicar conceitos matemáticos para situações práticas","1","Engenharia de Computação","4º ano","Não","Lazer;Tecnologia","Exercícios","Não relevante","Relevante","Relevante","Relevante","Online","Relevante","Não","Sim","Não","3","muito caro e nem considero comprar","60","Não"
"2023/04/11 7:43:15 PM GMT-3","21","Masculino","Solteiro(a)","Região do ABCD","Desempregado","24","Habilidade em trabalhar com equações e gráficos matemáticos","1","Engenharia de Computação","4º ano","Não","Lazer;Economia;Tecnologia","Preço Hora/Aula","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Não","Sim","Não","1.3","um bom valor e eu provavelmente compraria","0.98","Sim"
"2023/04/12 12:02:31 PM GMT-3","19","Masculino","Solteiro(a)","Capital de SP","Estudante com Renda","3000","Habilidade em aplicar conceitos matemáticos para situações práticas","2","Ciências da Computação","1º ano","Não","Política;Lazer;Esportes;Economia;Automóveis;Tecnologia;Outros","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Não","2","um pouco caro e eu teria que pensar melhor para decidir se compraria","30","Sim"
"2023/04/13 8:59:57 AM GMT-3","18","Feminino","Solteiro(a)","Capital de SP","Estudante sem Renda","100","Compreensão geral dos conceitos matemáticos;Habilidade em resolver problemas matemáticos;Habilidade em trabalhar com equações e gráficos matemáticos;Dificuldade em entender ou aplicar notações matemáticas","5","Administração","1º ano","Não","Política;Economia;Tecnologia;Outros","Estatística de pessoas que já passaram de ano por conta dessas aulas","Relevante","Não relevante","Relevante","Relevante","Presencial","Relevante","Sim","Sim","Sim","2","um bom valor e eu provavelmente compraria","80","Sim"
"2023/04/19 2:34:04 PM GMT-3","19","Masculino","Solteiro(a)","Interior de SP","Desempregado","2000","Habilidade em aplicar conceitos matemáticos para situações práticas","3","Engenharia Mecânica","2º ano","Não","Automóveis","Nível de profissionalização do professor","Relevante","Relevante","Relevante","Relevante","Online","Relevante","Sim","Sim","Sim","1","um bom valor e eu provavelmente compraria","50","Sim"